network,agent,phase,sr,mr,std,ms
X,PPO,zero-shot,0.0,-330.0,0.0,nan
X,PPO,few-shot,0.0,-330.0,0.0,nan
X,A2C,zero-shot,0.0,-330.0,0.0,nan
X,A2C,few-shot,0.0,-184.0,0.0,nan
X,DQN,zero-shot,0.0,-330.0,0.0,nan
X,DQN,few-shot,0.0,-84.0,0.0,nan
Y,PPO,zero-shot,0.0,-330.0,0.0,nan
Y,PPO,few-shot,0.0,-330.0,0.0,nan
Y,A2C,zero-shot,0.0,-323.0,0.0,nan
Y,A2C,few-shot,0.0,-184.0,0.0,nan
Y,DQN,zero-shot,0.0,-330.0,0.0,nan
Y,DQN,few-shot,0.0,-84.0,0.0,nan
Z,PPO,zero-shot,0.0,-330.0,0.0,nan
Z,PPO,few-shot,0.0,-330.0,0.0,nan
Z,A2C,zero-shot,0.0,-330.0,0.0,nan
Z,A2C,few-shot,0.0,-197.0,0.0,nan
Z,DQN,zero-shot,0.0,-330.0,0.0,nan
Z,DQN,few-shot,0.0,-84.0,0.0,nan
